Risk ID,Risk Description,Domain,Likelihood (1-5),Impact (1-5),Risk Score,Risk Level,Status,Mitigation Actions,Owner,Regulatory Reference,Notes
R-01,LLM hallucination in client-facing outputs,AI Model & Algorithm,4,5,20,Critical,In Progress,"Human-in-the-loop review; output validation pipeline; factuality scoring",AI Lead,"NIST AI RMF (Measure); ISO/IEC 42001","High-priority. Residual score reduced with validation layer in place."
R-02,Algorithmic bias in decision-support tools,AI Model & Algorithm,4,4,16,Critical,In Progress,"Bias audits pre-deployment; disaggregated evaluation metrics; red-team testing",AI Lead,"EU AI Act Art. 10; NIST AI RMF (Map)","Disaggregated metrics required across race, gender, age."
R-03,Model performance drift over time,AI Model & Algorithm,3,4,12,High,Planned,"Monitoring dashboards; scheduled retraining; drift thresholds with automated alerts",Eng Lead,"ISO/IEC 42001 Clause 9","No monitoring tooling deployed yet. Priority for Q3."
R-04,Lack of explainability for high-stakes decisions,AI Model & Algorithm,3,3,9,High,Mitigated,"Explainability layer (SHAP/LIME); decision audit logs; plain-language summaries for end users",AI Lead,"EU AI Act Art. 13; GDPR Art. 22","XAI module deployed. Residual risk low."
R-05,Prompt injection / adversarial input attacks,AI Model & Algorithm,3,4,12,High,In Progress,"Input sanitization; instruction hierarchy controls; output filtering; red-team adversarial testing",Security,"NIST AI RMF (Manage); OWASP LLM Top 10","Active threat vector. Monitoring ongoing."
R-06,PII exposure in training or inference data,Data Privacy & Governance,3,5,15,Critical,Mitigated,"PII detection pipeline; data minimization; role-based access controls; DPIA completed",Privacy Lead,"GDPR Art. 25/32; CCPA §1798.100","DPIA on file. Annual review required."
R-07,Inadequate data subject rights management,Data Privacy & Governance,2,4,8,High,Mitigated,"Automated DSR workflows; documented retention and deletion schedules; intake portal",Privacy Lead,"GDPR Art. 15-22; CCPA §1798.105","DSR process documented and tested."
R-08,Cross-border data transfer non-compliance,Data Privacy & Governance,2,4,8,High,Mitigated,"Standard Contractual Clauses (SCCs) / adequacy decisions in place; data residency mapping completed",Legal,"GDPR Chapter V; CCPA","Transfer impact assessments completed for EU and UK."
R-09,Shadow AI use by employees without governance,Regulatory & Compliance,4,3,12,High,In Progress,"AI acceptable use policy; approved tool registry; mandatory employee training; usage monitoring",Governance Lead,"EU AI Act Art. 4; ISO/IEC 42001 Clause 7.3","Policy published Q1. Training completion at 60%."
R-10,EU AI Act high-risk classification gap,Regulatory & Compliance,3,5,15,Critical,Planned,"AI inventory assessment; conformity documentation; technical file preparation; designated EU representative",Legal,"EU AI Act Title III","Compliance deadline tracking required. Legal counsel engaged."
R-11,Audit trail gaps for AI-assisted decisions,Regulatory & Compliance,3,3,9,High,Mitigated,"Immutable audit logs; versioned model registry; decision provenance tagging; log retention policy",Eng Lead,"EU AI Act Art. 12; ISO/IEC 42001 Clause 9","Logging infrastructure deployed. Retention policy: 3 years."
R-12,Vendor / third-party AI API failure or change,Operational & Vendor,3,3,9,High,Mitigated,"Vendor SLAs with uptime guarantees; fallback model configuration; API abstraction layer",Ops Lead,"ISO/IEC 42001 Clause 8.4","Fallback to secondary model tested quarterly."
R-13,Supply chain risk in open-source model weights,Operational & Vendor,2,3,6,Medium,Mitigated,"Model provenance checks; dependency pinning; automated security scans on model artifacts",Security,"NIST AI RMF (Map); NIST SP 800-161","Applies to Hugging Face and similar open-source model usage."
R-14,AI system downtime or latency impact,Operational & Vendor,2,2,4,Medium,Mitigated,"Redundancy design; graceful degradation fallback; incident runbooks; SLA monitoring",Ops Lead,"ISO/IEC 42001 Clause 8","99.5% uptime SLA in place with primary vendor."
R-15,Discriminatory outputs harming protected classes,Ethical & Reputational,3,5,15,Critical,In Progress,"Fairness testing across demographic groups; grievance mechanism; independent third-party audit annually",Ethics Lead,"EU AI Act Art. 10; Equal Credit Opportunity Act; Title VII","Fairness testing framework in development. Audit scheduled Q4."
R-16,Reputational damage from AI incident,Ethical & Reputational,2,5,10,High,Planned,"Incident response plan; public communications playbook; executive media training; cyber liability insurance",Exec Sponsor,"EU AI Act Art. 73; ISO/IEC 42001","IRP drafted. Tabletop exercise not yet conducted."
R-17,Consent gaps for AI-driven personalization,Data Privacy & Governance,2,3,6,Medium,Mitigated,"Consent management platform; granular preference controls; privacy notice updates; opt-out mechanisms",Privacy Lead,"GDPR Art. 6/7; CCPA §1798.120","CMP deployed. Cookie banner reviewed by legal."
R-18,Lack of AI governance accountability structure,Regulatory & Compliance,2,4,8,High,In Progress,"AI governance charter; RACI matrix; AI steering committee; quarterly board reporting",Governance Lead,"ISO/IEC 42001 Clause 5; NIST AI RMF (Govern)","Charter in final review. Steering committee formed."
